,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,1728.0,1734.0,4795,1728.0,1728.0,1734.0
mean,14.340639792213237,309.35194856209273,0.44275286757038584,376.21438178129716,92.30966898943181,342.5831787672266
std,6.636044886381521,146.95204714625496,0.49676375747022317,46.27829346690882,33.6831143830004,90.47761111173422
min,6.02,205.53135999999998,False,350.0,0.20326765589094806,207.65024
25%,8.679999,209.76912,0.0,350.0,79.07953907541672,279.88455999999996
50%,12.04,209.76912000000002,0.0,350.0,99.15820617975723,279.88456
75%,21.209999,372.41523166666667,1.0,393.61349368444445,100.65648059627776,402.9169866666667
max,28.072498500000002,629.542791111111,True,529.26017172,194.50357945827096,573.0617333333332
