,description,base lab cfm,hood inc cfm,sash driven cfm,lab total cfm,savings cad
0,current operation,7863.413654618477,0.0,0.0,7863.413654618477,0.0
1,reduced overall ach,5282.545180722887,23.94578313253012,55.84551763131272,5362.336481486732,13130.655158941663
2,current operation sash reduced .2,7863.413654618477,0.0,0.0,7863.413654618477,0.0
3,reduced overall ach sash reduced .2,5282.545180722887,23.94578313253012,10.156569648514054,5316.647533503932,13370.52213585136
