,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,4813.0,4813,4813.0,4813.0,4813.0,4813.0,1172.0,1178.0,1172.0,1178.0,4813.0,4813.0,4813.0,4813.0
mean,0.663619364221899,0.97652191980054015,620.3704550176604,635.0,14.629544982339498,605.0,636.6193183882772,1048.3731139426682,291.1509122248521,842.9628461525768,612.6995306775526,713.5172508257723,7.699530677552578,108.51725082577151
std,0.842846746525541,0.15143191363602698,16.960374327234913,0.0,16.96037432723499,0.0,7.774642824441596,1.8373112395010611,5.580336502803082,8.016832238512292,14.103854725237122,190.64630822416268,14.103854725237936,190.646308224167
min,0.0,False,511.0,635.0,12.0,605.0,635.0,1044.60784,249.8420895783491,839.80392,605.0,605.0,0.0,0.0
25%,0.0,True,623.0,635.0,12.0,605.0,635.0,1046.72672,291.1347557076948,840.86336,605.0,605.0,0.0,0.0
50%,0.0,1.0,623.0,635.0,12.0,605.0,635.0,1047.7861599999999,291.6341805132017,841.3930799999999,605.0,605.0,0.0,0.0
75%,1.0,True,623.0,635.0,12.0,605.0,635.0,1050.7290488888887,293.75673593660576,842.9822399999999,605.0,605.0,0.0,0.0
max,2.0,True,623.0,635.0,124.0,605.0,693.8213090666666,1050.9644799999999,294.1313045407361,980.0835199999999,693.8213090666666,1050.9644799999999,88.82130906666657,445.96447999999987
