,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,1172.0,1172,1172.0,1172.0,1172.0,1172.0,1172.0,1172.0,1172.0,1172.0,1172.0,1172.0,1172.0,1172.0
mean,2.0,0.97610921501706482,623.0,635.0,12.0,605.0,647.6271321584649,1048.3688871539787,291.54814610842277,847.9980096561991,647.6271321584649,1048.3688871539787,42.62713215846492,443.3688871539576
std,0.0,0.15277411427289717,0.0,0.0,0.0,0.0,59.975341729585125,1.8360194332972397,16.271676015911225,29.993032947158706,59.975341729585125,1.8360194332972397,59.97534172958381,1.8360194382666528
min,2.0,False,623.0,635.0,12.0,605.0,635.0,1044.60784,159.2378808699088,839.80392,635.0,1044.60784,30.0,439.6078399999999
25%,2.0,1.0,623.0,635.0,12.0,605.0,635.0,1046.72672,291.1347557076948,840.86336,635.0,1046.72672,30.0,441.7267199999999
50%,2.0,1.0,623.0,635.0,12.0,605.0,635.0,1047.7861599999999,291.8838929159548,841.3930799999999,635.0,1047.7861599999999,30.0,442.7861599999999
75%,2.0,1.0,623.0,635.0,12.0,605.0,635.0,1050.7290488888887,294.13130454073587,842.9822399999999,635.0,1050.7290488888887,30.0,445.72904888888866
max,2.0,True,623.0,635.0,12.0,605.0,1003.7551805866667,1050.9644799999999,356.6463750639696,1025.7706702933333,1003.7551805866667,1050.9644799999999,398.7551805866667,445.96447999999987
