,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,4813.0,4813,4813.0,4813.0,4813.0,4813.0,1172.0,1178.0,1172.0,1178.0,4813.0,4813.0,4813.0,4813.0
mean,0.663619364221899,0.97776854352794518,623.0,635.0,12.0,605.0,648.5809783927488,1048.3731139426682,291.4959545045254,848.9132135232221,615.6122806308543,713.5172508257723,10.612280630854261,108.51725082577151
std,0.842846746525541,0.1474507921620094,0.0,0.0,0.0,0.0,71.6697165128731,1.8373112395010611,30.342478292491858,36.349435485334205,39.99905733817321,190.64630822416268,39.9990573381756,190.646308224167
min,0.0,False,623.0,635.0,12.0,605.0,635.0,1044.60784,106.24291380801372,839.80392,605.0,605.0,0.0,0.0
25%,0.0,True,623.0,635.0,12.0,605.0,635.0,1046.72672,291.1347557076948,840.86336,605.0,605.0,0.0,0.0
50%,0.0,1.0,623.0,635.0,12.0,605.0,635.0,1047.7861599999999,291.63418051320195,841.3930799999999,605.0,605.0,0.0,0.0
75%,1.0,True,623.0,635.0,12.0,605.0,635.0,1050.7290488888887,293.94402023867076,842.9822399999999,605.0,605.0,0.0,0.0
max,2.0,True,623.0,635.0,12.0,605.0,1202.6652852666664,1050.9644799999999,497.64967203328877,1124.6960026333331,1202.6652852666664,1050.9644799999999,597.6652852666664,445.96447999999987
