,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,1767.0,1767,1767.0,1767.0,1767.0,1767.0,1767.0,1767.0,1767.0,1767.0,1767.0,1767.0,1767.0,1767.0
mean,1.0,0.59649122807017541,447.9200000000106,175.0,0.0,447.9200000000106,291.2766914162267,215.03485090800618,56.32800077980223,253.15577116211645,447.9200000000106,448.2017669270054,0.0,0.28176692699490635
std,0.0,0.4907399857799255,0.00010129348055308766,0.0,0.0,0.00010129348055308766,63.08371652020796,53.49634816694966,27.75979650073671,53.871248531518376,0.00010129348055308766,3.5342654037118106,0.0,3.5342654051447746
min,1.0,False,447.92,175.0,0.0,447.92,175.0,175.86704,0.10676703957264229,176.49295999999998,447.92,447.92,0.0,0.0
25%,1.0,0.0,447.92,175.0,0.0,447.92,247.44571390933336,177.98592,34.87390847902836,213.7414879386667,447.92,447.92,0.0,0.0
50%,1.0,1.0,447.92,175.0,0.0,447.92,295.9786592,190.6992,67.47653105886303,242.886472384,447.92,447.92,0.0,0.0
75%,1.0,1.0,447.92,175.0,0.0,447.92,336.048526016,233.16508666666667,79.05080461285175,287.24862924800004,447.92,447.92,0.0,0.0
max,1.0,True,447.92,175.0,0.0,447.92,441.175077952,514.88784,92.06356265093217,464.42321890133337,447.92,514.88784,0.0,66.96783999999997
