,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,1694.0,1697.0,4796,1694.0,1694.0,1697.0
mean,34.858078002435114,263.7495927021557,0.43432026688907421,323.7920224813273,56.03642399925963,293.6981148670957
std,8.917828788919241,43.15444915306178,0.49571908441242202,83.50965471455798,29.399722918449324,57.58268799889077
min,20.48,224.60127999999997,False,182.25433333333334,0.3341278285186353,207.66556666666665
25%,30.715311500000002,243.6712,0.0,276.50559104,30.57400267098142,272.79059556666664
50%,35.469997,245.79008,0.0,331.0533053333333,60.059627164188015,287.3622526666667
75%,40.074998666666666,262.74111999999997,1.0,371.13720952,82.10392897224523,310.28294480666665
max,71.860001,621.5381333333333,True,697.5210763733332,115.65673016094432,622.4177547103704
