,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,1680.0,1686.0,4796,1680.0,1680.0,1686.0
mean,36.12773611412022,235.14570674443146,0.43744787322768974,335.25346743996846,71.94691861493668,284.98510258311336
std,6.324997208675508,48.26712843271764,0.49612352601898585,59.76635663504829,24.48839683951589,50.7594014474195
min,22.754998999999998,203.41248,False,202.07132446666665,0.5592160013126021,204.86078223333334
25%,32.934998,207.65024000000003,0.0,301.2454483733333,59.661009608585665,254.02124600833332
50%,36.664998374999996,214.00688,0.0,334.7679817066666,79.89402901100999,274.7075641866667
75%,38.599998,243.6712,1.0,360.59424856,89.185649199277,301.33343104
max,54.514998999999996,629.30736,True,524.0708570533333,106.68882996720133,576.61233696
