,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,1768.0,1768,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0
mean,1.0,0.60520361990950222,241.4077413272902,175.0,0.0,211.40774132729152,440.24659628417794,335.7217932585453,83.19670408378806,387.9841947713618,440.300592565637,337.706477489314,228.89285123833622,126.29873616201618
std,0.0,0.48894520908326122,29.354640536066423,0.0,0.0,29.35464053603841,95.52727909389199,106.5921269867894,29.160403042370067,95.33418446621697,95.4084622244268,104.44476845130627,98.86496837504973,104.62652983375149
min,1.0,False,205.07333333333332,175.0,0.0,175.07333333333332,221.2676666666667,197.05584,0.2432635888905846,215.51839333333334,221.2676666666667,205.53135999999998,0.0,0.0
25%,1.0,0.0,205.07333333333332,175.0,0.0,175.07333333333332,374.37307124,239.43344,78.17713098047125,306.97942666666665,374.37307124,239.43344,153.32979076000004,35.75522666666666
50%,1.0,1.0,265.11,175.0,0.0,235.11,435.36659001111116,309.09162,90.83922689236316,377.7537429766667,435.36659001111116,309.09162,220.1653243733333,102.49994666666669
75%,1.0,1.0,265.11,175.0,0.0,235.11,537.1666819866666,421.65711999999996,101.57900119810047,481.67358656,537.1666819866666,421.65711999999996,311.1228576133333,189.37402666666668
max,1.0,True,265.11,175.0,0.0,235.11,658.6575237200001,624.3633066666666,177.40371369300422,631.2120219999999,658.6575237200001,624.3633066666666,483.58419038666676,447.8773866666666
