,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,1768.0,1768,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0
mean,1.0,0.58371040723981904,240.1173604826445,175.0,0.0,210.11736048264592,352.9109562185406,335.7217932585453,36.2769747991078,344.3163747385438,354.13267638524303,337.55234244657896,144.0153159025903,127.43498196392667
std,0.0,0.49308222918291933,29.603013432784994,0.0,0.0,29.603013432753944,76.98849743589035,106.5921269867894,33.01931960998252,86.68877781400337,74.82387965854039,104.61699126970532,79.22287628759005,105.27237202839366
min,1.0,False,205.07333333333332,175.0,0.0,175.07333333333332,177.01413333333335,197.05584,0.1003097607904154,193.39162666666667,177.01413333333335,205.53135999999998,0.0,0.0
25%,1.0,0.0,205.07333333333332,175.0,0.0,175.07333333333332,300.83200746666665,239.43344,18.47326836749176,269.7387733333333,300.83200746666665,239.43344,76.670001904,34.69578666666669
50%,1.0,1.0,265.11,175.0,0.0,235.11,348.02188362666664,309.09162,31.495995860712554,333.14511999999996,348.02188362666664,309.09162,135.792645568,103.55851999999999
75%,1.0,1.0,265.11,175.0,0.0,235.11,429.52474710133333,421.65711999999996,43.580620430419245,428.888722168,429.52474710133333,421.65711999999996,205.53979138133337,189.9020133333333
max,1.0,True,265.11,175.0,0.0,235.11,526.9260189760001,624.3633066666666,228.30162425507496,574.938369488,526.9260189760001,624.3633066666666,351.8526856426668,447.8773866666666
