SIMULATION RESULTS
simulation_description,Day Unoccupied ACH,Day Occupied ACH,Night Unoccupied ACH,Night Occupied ACH,Fumehood Occupation Rate,Usage Reduction Factor,start_date, end_date, total_hours_in_range, total_hours_analysed, min_lab_evac_per_hour, hood_total_evac_per_hour, base_hood_evac_per_hour, sash_dependent_evac_per_hour, yearly_fumehood_added_expense, yearly_sash_dependent_added_expense
Current Operating Settings,4,10,4,10,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4929,4929.43620178,3000.0,1929.43620178,25879.5400593,25879.5400593
Reduced ACH at Day,4,10,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4421,4502.75964392,3000.0,1502.75964392,23639.4881306,23639.4881306
Reduced ACH at Night,4,8,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3984,4065.81602374,3000.0,1065.81602374,21345.5341246,21345.5341246
Reduced ACH Both,4,8,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3975,4056.61721068,3000.0,1056.61721068,21297.2403561,21297.2403561
Usage Reduction -15%,4,10,4,10,0.4,0.15,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4901,4901.83976261,3000.0,1901.83976261,25734.6587537,25734.6587537
Usage Reduction -25%,4,10,4,10,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4943,4943.23442136,3000.0,1943.23442136,25951.9807122,25951.9807122
Usage Reduction -30%,4,10,4,10,0.4,0.3,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4929,4929.43620178,3000.0,1929.43620178,25879.5400593,25879.5400593
Usage Reduction -25% with Reduced ACH,4,8,3,6,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3947,4029.02077151,3000.0,1029.02077151,21152.3590504,21152.3590504
Usage Reduction with ACH Reduction,4,8,3,6,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3947,4029.02077151,3000.0,1029.02077151,21152.3590504,21152.3590504
