,ottomaass-230-1__mcgill-standard__otto-mass-119-230;,ottomaass-230-9__mcgill-standard__otto-mass-119-230;,ottomaass-230-16__mcgill-standard__otto-mass-119-230;,ottomaass-230-2__mcgill-standard__otto-mass-119-230;,ottomaass-230-18__mcgill-standard__otto-mass-119-230;,ottomaass-230-3__mcgill-standard__otto-mass-119-230;,ottomaass-230-12__mcgill-standard__otto-mass-119-230;,ottomaass-230-15__mcgill-standard__otto-mass-119-230;,ottomaass-230-4__mcgill-standard__otto-mass-119-230;,ottomaass-230-17__mcgill-standard__otto-mass-119-230;,ottomaass-230-5__mcgill-standard__otto-mass-119-230;,ottomaass-230-11__mcgill-standard__otto-mass-119-230;,ottomaass-230-14__mcgill-standard__otto-mass-119-230;,ottomaass-230-6__mcgill-standard__otto-mass-119-230;,ottomaass-230-7__mcgill-standard__otto-mass-119-230;,ottomaass-230-10__mcgill-standard__otto-mass-119-230;,ottomaass-230-13__mcgill-standard__otto-mass-119-230;,ottomaass-230-8__mcgill-standard__otto-mass-119-230;,ottomaass-230-19__mcgill-standard__otto-mass-119-230;
2013-10-24 17:00:00-05:00,320.2013694444444,200.0,200.0,238.43749999999994,,316.99304259259253,218.13425277777776,315.2916666666667,273.3402777777777,356.5138694444444,273.7291569444444,210.00000000000006,333.0185023148149,460.2985819444445,370.02775833333334,200.0,267.26388888888886,369.6388888888889,200.0
2013-10-24 18:00:00-05:00,320.2013694444444,200.0,200.0,238.4375,,200.0,217.875,315.2916666666667,273.3402777777778,356.5138694444445,274.0208236111111,209.99999999999997,333.2777680555555,460.2985819444445,370.02775833333334,200.0,267.2638888888889,369.6388888888889,200.0
2013-10-24 19:00:00-05:00,320.2013694444444,200.0,200.0,238.4375,,200.0,217.09721574074078,315.2916666666667,273.2673611111111,356.5138694444445,273.13367650462965,209.92708333333331,333.2777680555555,460.2985819444445,370.86630729166677,200.0,267.2638888888889,369.6388888888889,200.0
2013-10-24 20:00:00-05:00,320.2013694444444,200.0,200.89351689814822,238.15393518518522,,200.0,216.7083236111111,315.2916666666667,273.3402777777778,356.5138694444445,272.85416504629626,209.99999999999997,332.95368587962975,459.3668932870371,371.20253657407414,200.0,267.2152761574074,369.6388888888889,200.0
2013-10-24 21:00:00-05:00,320.2013694444444,200.0,200.95833333333337,238.32407407407405,,200.0,216.7083236111111,315.2916666666667,273.2309027777778,356.5138694444445,272.9027777777777,209.99999999999997,333.11572696759254,458.35010277777786,370.95947939814823,200.0,267.2638888888889,369.73610625,200.0
2013-10-24 22:00:00-05:00,320.2013694444444,200.0,200.86110868055556,238.4375,,200.0,216.7083236111111,314.9270833333333,273.3402777777778,356.5138694444445,272.9027777777777,209.8541666666667,333.2129516203703,457.8761412037038,370.24246307870374,200.0,267.16666342592595,369.6388888888889,200.0
2013-10-24 23:00:00-05:00,320.2013694444444,200.0,200.5694347222222,238.4375,,200.0,216.7083236111111,314.95138726851854,273.3402777777778,356.4814644675926,272.9027777777777,209.81770833333334,333.2777680555555,458.24882233796296,369.9629467592593,200.0,267.2152761574074,369.6024289351851,200.0
2013-10-25 00:00:00-05:00,320.2013694444444,200.0,200.6990675925926,238.4375,,200.0,216.64351041666666,314.74479166666674,273.19444444444446,356.48146446759273,272.9027777777777,209.96354166666663,333.2777680555555,460.2985819444445,370.5219745370371,200.0,267.1423570601852,369.6388888888889,200.0
2013-10-25 01:00:00-05:00,320.2013694444444,200.0,200.5694347222222,238.4375,,200.0,216.7083236111111,314.5625,273.3402777777778,356.5138694444445,272.9027777777777,209.99999999999997,333.2777680555555,460.2985819444445,370.02775833333334,200.0,266.9722125,369.6388888888889,200.0
2013-10-25 02:00:00-05:00,320.2013694444444,200.0,200.5694347222222,238.4375,,200.0,216.7083236111111,314.5625,273.3402777777778,356.5138694444445,272.9027777777777,209.99999999999997,333.2777680555555,460.2985819444445,370.02775833333334,200.0,266.9722125,369.6388888888889,200.0
2013-10-25 03:00:00-05:00,320.2013694444444,200.0,200.5694347222222,238.50231319444447,,200.0,216.67591701388886,314.5625,273.3402777777778,356.5138694444445,272.85416504629626,209.99999999999997,333.2777680555555,460.2054130787036,370.0763726851852,200.0,267.2395825231481,369.6388888888889,200.0
2013-10-25 04:00:00-05:00,320.4444412037038,200.0,200.89351689814822,238.4375,,200.0,216.7083236111111,314.5625,273.3402777777778,356.5138694444445,272.9027777777777,209.99999999999997,333.2777680555555,460.2985819444445,370.02775833333334,200.0,267.6284722222223,369.6388888888889,200.0
2013-10-25 05:00:00-05:00,320.34721250000007,200.0,200.666659375,238.4375,,200.0,216.7083236111111,314.5625,273.2309027777778,356.5138694444445,272.9027777777777,209.78125000000003,333.2777680555555,459.18055555555566,370.02775833333334,200.0,267.1909697916667,369.703700462963,200.0
2013-10-25 06:00:00-05:00,320.49305555555566,200.0,200.5694347222222,238.4375,,200.0,216.7083236111111,314.5625,273.3402777777778,356.5138694444445,272.9027777777777,209.99999999999997,333.2777680555555,460.11224421296293,370.02775833333334,200.0,267.2638888888889,369.6388888888889,200.0
2013-10-25 07:00:00-05:00,320.49305555555566,200.0,200.5694347222222,238.4375,,200.0,216.7083236111111,314.5625,273.3402777777778,356.5138694444445,272.9027777777777,209.99999999999997,333.2777680555555,460.2985819444445,370.02775833333334,200.0,267.2638888888889,369.6388888888889,200.0
2013-10-25 08:00:00-05:00,320.49305555555566,200.0,200.5694347222222,238.4375,,200.0,216.7083236111111,314.5625,273.3402777777778,356.5138694444445,272.9027777777777,209.99999999999997,333.2777680555555,460.2985819444445,370.02775833333334,200.0,267.2638888888889,369.6388888888889,200.0
