,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,1451.0,1451,1451.0,1451.0,1451.0,1451.0,1451.0,1451.0,1451.0,1451.0,1451.0,1451.0,1451.0,1451.0
mean,1.0,0.67195037904893173,191.9800000000032,230.0,38.01999999999892,230.0,251.41663202031776,227.4942655249232,19.478529159695157,239.45544877262046,251.41663202031776,248.1367837215712,21.416632020317685,18.136783721571366
std,0.0,0.46966486982725908,3.971734827464429e-05,0.0,1.038773124263627e-05,0.0,73.50570475090743,70.89741513777692,13.510402625705877,71.25188948293265,73.50570475090743,65.06384160701788,73.50570475090788,65.06384160701677
min,1.0,False,191.98000000000002,230.0,38.01999999999998,230.0,230.0,205.53135999999998,2.8703628906463705,217.76567999999997,230.0,230.0,0.0,0.0
25%,1.0,0.0,191.98000000000002,230.0,38.01999999999998,230.0,230.0,205.53135999999998,15.803666853891304,217.76567999999997,230.0,230.0,0.0,0.0
50%,1.0,1.0,191.98000000000002,230.0,38.01999999999998,230.0,230.0,207.65024,15.803666853891766,218.82512,230.0,230.0,0.0,0.0
75%,1.0,1.0,191.98000000000002,230.0,38.01999999999998,230.0,230.0,209.76912,17.30194127041276,219.88456,230.0,230.0,0.0,0.0
max,1.0,True,191.98000000000002,230.0,38.01999999999998,230.0,680.86091766,627.1884799999999,110.79249507673018,643.0771521633333,680.86091766,627.1884799999999,450.86091766000004,397.1884799999999
