,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,1860.0,1862.0,4813,1860.0,1860.0,1862.0
mean,67.7789213241411,387.39264741496527,0.45003116559318512,503.8272979787377,110.73449362783619,445.59599855185724
std,7.794378439951812,70.68646207211206,0.49754854049700359,59.620756904432284,36.744333281062914,29.4803878582604
min,26.914998999999998,320.6571733333333,False,197.47195268266665,1.4343949027942768,358.09072
25%,71.049995,359.94473999999997,False,506.74769786666667,105.08662217698316,436.14574208
50%,71.324997,360.20959999999997,0.0,522.2014786986666,116.65233982000089,444.411894456
75%,71.439995,362.32847999999996,True,540.1856840426668,130.40050578302598,454.0848
max,71.83000200000001,599.6430399999999,True,557.1238011733334,282.8796286227331,597.5241599999999
