description,base lab cfm,equipment inc cfm,sash driven cfm,lab total cfm,savings cfm,lab total cad,savings cad
current operation,2313.0,227.0,1840.3998513095025,3780.3998513095094,0.0,756.0799702619018,0.0
reduced unoccupied ach,2192.97320872274,347.02679127725924,1843.7117866382441,3783.711786638244,0.0,756.7423573276488,0.0
reduced unoccupied face velocity,2313.0,227.0,1143.6793942753152,3083.6793942753147,696.7204570341934,616.735878855063,3483.6022851709668
sash reduced 20%,2313.0,227.0,1345.5777755723414,3285.577775572343,494.8220757371655,657.1155551144686,2474.1103786858275
sash reduced 50%,2313.0,227.0,740.4440463314828,2680.4440463314863,1099.9558049780221,536.0888092662973,5499.779024890111
"reduced ach, sash reduced 20%",2192.404361370716,347.5956386292841,1347.5296082896427,3287.5296082896416,492.8702430198664,657.5059216579283,2464.351215099332
"reduced ach, sash reduced 50%",2195.24859813084,344.75140186915945,739.7851736242693,2679.78517362427,1100.6146776852383,535.957034724854,5503.073388426192
"all reduced (ach, face vel, sash 50%)",2190.128971962616,349.8710280373839,741.2458357209455,2681.2458357209453,1099.1540155885632,536.2491671441891,5495.770077942816
