description,base lab cfm,equipment inc cfm,sash driven cfm,lab total cfm,savings cfm,lab total cad,savings cad
current operation,1000.5600000000186,51.44000000000007,297.8924346463514,1319.8924346463518,0.0,263.9784869292704,0.0
reduced unoccupied ach,924.72323529413,127.27676470588396,298.3248052823427,1320.3248052823415,0.0,264.0649610564683,0.0
reduced unoccupied face velocity,1000.5600000000186,51.44000000000007,206.72722794979873,1228.7272279497975,91.16520669655438,245.7454455899595,455.8260334827719
sash reduced 20%,1000.5600000000186,51.44000000000007,182.8718420244366,1204.871842024436,115.02059262191577,240.97436840488723,575.1029631095788
sash reduced 50%,1000.5600000000186,51.44000000000007,68.10532726888214,1090.1053272688825,229.78710737746928,218.02106545377652,1148.9355368873464
"reduced ach, sash reduced 20%",923.8647058823652,128.1352941176487,183.78684703915462,1205.7868470391554,114.10558760719618,241.15736940783108,570.5279380359809
"reduced ach, sash reduced 50%",925.5817647058948,126.4182352941192,67.9749034503987,1089.9749034503977,229.9175311959541,217.99498069007956,1149.5876559797705
"all reduced (ach, face vel, sash 50%)",925.5817647058948,126.4182352941193,67.97539850195639,1089.975398501956,229.91703614439604,217.99507970039122,1149.5851807219801
