description,base lab cfm,equipment inc cfm,sash driven cfm,lab total cfm,savings cfm,lab total cad,savings cad
current operation,19686.90000000008,1216.5799999999986,6910.0155674192065,25490.495567419286,0.0,5098.099113483858,0.0
reduced unoccupied ach,18301.11427850672,1490.395439922493,7414.804785750654,24883.31450417988,613.6100487266629,4976.662900835976,3068.050243633314
reduced unoccupied face velocity,19686.90000000008,1216.5799999999986,4634.206467634201,23214.68646763428,2275.821212448283,4642.937293526856,11379.106062241417
sash reduced 20%,19686.90000000008,1216.5799999999986,4647.503417985053,23227.983417985142,2262.5121494341447,4645.596683597028,11312.560747170723
sash reduced 50%,19686.90000000008,1216.5799999999986,2219.4226643740362,20799.902664374113,4690.592903045171,4159.980532874824,23452.964515225856
"reduced ach, sash reduced 20%",18298.309229064365,1490.3554582043648,5049.817562286074,22515.482249554825,2975.013317864466,4503.096449910964,14875.066589322327
"reduced ach, sash reduced 50%",18315.824121969228,1487.0704841980214,2424.556892409544,19904.451498576796,5586.044068842489,3980.8902997153587,27930.220344212445
"all reduced (ach, face vel, sash 50%)",18320.582953210465,1491.8511308628206,2429.8625887345142,19919.29667280781,5571.198894611482,3983.859334561561,27855.994473057403
