SIMULATION RESULTS
simulation_description,Day Unoccupied ACH,Day Occupied ACH,Night Unoccupied ACH,Night Occupied ACH,Fumehood Occupation Rate,Usage Reduction Factor,start_date, end_date, total_hours_in_range, total_hours_analysed, min_lab_evac_per_hour, hood_total_evac_per_hour, base_hood_evac_per_hour, sash_dependent_evac_per_hour, yearly_fumehood_added_expense, yearly_sash_dependent_added_expense
Current Operating Settings,4,10,4,10,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3733,3738.63419465,2400.0,1338.63419465,19627.8295219,19627.8295219
Reduced ACH at Day,4,10,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3367,3560.39171654,2400.0,1160.39171654,18692.0565118,18692.0565118
Reduced ACH at Night,4,8,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3106,3293.55670227,2400.0,893.556702268,17291.1726869,17291.1726869
Reduced ACH Both,4,8,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3106,3294.61397639,2400.0,894.613976394,17296.7233761,17296.7233761
Usage Reduction -15%,4,10,4,10,0.4,0.15,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3779,3780.76130508,2400.0,1380.76130508,19848.9968517,19848.9968517
Usage Reduction -25%,4,10,4,10,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3751,3755.43839071,2400.0,1355.43839071,19716.0515512,19716.0515512
Usage Reduction -30%,4,10,4,10,0.4,0.3,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3742,3744.00132839,2400.0,1344.00132839,19656.0069741,19656.0069741
Usage Reduction -25% with Reduced ACH,4,8,3,6,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3094,3145.58414053,2400.0,745.584140529,16514.3167378,16514.3167378
Usage Reduction with ACH Reduction,4,8,3,6,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3082,3132.56478087,2400.0,732.564780867,16445.9650996,16445.9650996
