SIMULATION RESULTS
simulation_description,Day Unoccupied ACH,Day Occupied ACH,Night Unoccupied ACH,Night Occupied ACH,Fumehood Occupation Rate,Usage Reduction Factor,start_date, end_date, total_hours_in_range, total_hours_analysed, min_lab_evac_per_hour, hood_total_evac_per_hour, base_hood_evac_per_hour, sash_dependent_evac_per_hour, yearly_fumehood_added_expense, yearly_sash_dependent_added_expense
Current Operating Settings,4,10,4,10,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,5134,5134.02670623,3000.0,2134.02670623,26953.6402077,26953.6402077
Reduced ACH at Day,4,10,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4553,4554.00913814,3000.0,1554.00913814,23908.5479752,23908.5479752
Reduced ACH at Night,4,8,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4178,4179.76581469,3000.0,1179.76581469,21943.7705271,21943.7705271
Reduced ACH Both,4,8,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4188,4189.4898503,3000.0,1189.4898503,21994.8217141,21994.8217141
Usage Reduction -15%,4,10,4,10,0.4,0.15,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,5236,5236.11869436,3000.0,2236.11869436,27489.6231454,27489.6231454
Usage Reduction -25%,4,10,4,10,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,5192,5192.36498516,3000.0,2192.36498516,27259.9161721,27259.9161721
Usage Reduction -30%,4,10,4,10,0.4,0.3,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,5221,5221.53412463,3000.0,2221.53412463,27413.0541543,27413.0541543
Usage Reduction -25% with Reduced ACH,4,8,3,6,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4159,4159.50148368,3000.0,1159.50148368,21837.3827893,21837.3827893
Usage Reduction with ACH Reduction,4,8,3,6,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4130,4130.32937685,3000.0,1130.32937685,21684.2292285,21684.2292285
