,ottomaass-230-1__mcgill-standard__otto-mass-119-230,ottomaass-230-2__mcgill-standard__otto-mass-119-230,ottomaass-230-3__mcgill-standard__otto-mass-119-230,ottomaass-230-4__mcgill-standard__otto-mass-119-230,ottomaass-230-5__mcgill-standard__otto-mass-119-230,ottomaass-230-6__mcgill-standard__otto-mass-119-230,ottomaass-230-7__mcgill-standard__otto-mass-119-230,ottomaass-230-8__mcgill-standard__otto-mass-119-230,ottomaass-230-9__mcgill-standard__otto-mass-119-230,ottomaass-230-10__mcgill-standard__otto-mass-119-230,ottomaass-230-11__mcgill-standard__otto-mass-119-230,ottomaass-230-12__mcgill-standard__otto-mass-119-230,ottomaass-230-13__mcgill-standard__otto-mass-119-230,ottomaass-230-14__mcgill-standard__otto-mass-119-230,ottomaass-230-15__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-17__mcgill-standard__otto-mass-119-230,ottomaass-230-18__mcgill-standard__otto-mass-119-230,ottomaass-230-19__mcgill-standard__otto-mass-119-230
2013-10-31 07:00:00-05:00,200.0,302.954155,200.0,200.0,200.0,291.9583275,200.0,284.72498833333333,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,200.0
2013-10-31 07:30:00-05:00,200.0,302.954155,200.0,200.0,200.0,291.9583275,200.0,284.72498833333333,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,200.0
2013-10-31 08:00:00-05:00,320.4930555555556,302.954155,200.0,200.0,200.0,486.59721250000007,200.0,284.72498833333333,200.0,200.0,200.0,200.0,200.0,228.71527777777777,200.0,200.0,279.5948960648148,,200.0
2013-10-31 08:30:00-05:00,200.0,282.1194337499999,200.0,200.0,332.88886944444454,291.9583275,301.77776805555555,284.72498833333333,200.84166666666664,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,200.0
2013-10-31 09:00:00-05:00,200.0,296.57637916666664,232.79861111111106,200.0,200.0,291.9583275,200.0,474.5416472222222,200.84166666666664,200.0,200.0,200.0,204.3611111111111,228.71527777777777,200.0,200.0,200.0,,200.0
2013-10-31 09:30:00-05:00,320.4930555555556,200.0,200.0,200.0,200.0,291.9583275,200.0,474.5416472222222,334.7361111111111,200.0,282.62499999999994,200.0,200.0,200.0,289.81943472222224,200.5694347222222,200.0,,200.0
2013-10-31 10:00:00-05:00,356.87847708333334,246.3124970833333,215.12036712962967,202.9805565277778,332.88886944444454,291.9583275,200.0,474.5416472222222,200.84166666666664,200.0,401.0902729166667,203.0729069444445,255.86458916666678,229.07986111111106,289.81943472222224,200.0,200.0,,200.0
2013-10-31 10:30:00-05:00,235.95833916666666,220.37360138888891,200.0,283.61666083333336,332.88886944444454,486.59721250000007,200.0,314.7909615277777,200.84166666666664,200.0,312.2145804166667,200.0,389.11251166666676,200.0,239.56040499999997,200.0,200.0,,200.0
2013-10-31 11:00:00-05:00,393.2638986111111,201.51248833333335,200.0,283.61666083333336,200.0,291.9583275,301.40508287037034,326.11249416666664,334.99535092592595,200.0,312.4041666666667,200.0,389.11251166666676,200.0,348.73610722222224,200.6990675925926,200.0,,200.0
2013-10-31 11:30:00-05:00,393.2638986111111,335.70831875,270.3749902777778,424.3587881944445,200.0,486.59721250000007,200.0,543.5208236111112,243.68748541666662,200.0,520.6736111111111,200.0,389.11251166666676,200.0,258.47499513888886,200.0,200.0,,200.0
