,occupancy,minimum,hood_undjusted_sum,hood_adjusted_sum
2013-10-24 17:30:00-05:00,False,2702,3743.8874591666668,3743.8874591666668
2013-10-24 18:00:00-05:00,True,4967,4162.920784722222,4967.0
2013-10-24 18:30:00-05:00,True,4967,4269.448554722222,4967.0
2013-10-24 19:00:00-05:00,True,4967,4247.714510416667,4967.0
2013-10-24 19:30:00-05:00,True,4967,4176.574945555556,4967.0
2013-10-24 20:00:00-05:00,True,4967,3845.730069259259,4967.0
2013-10-24 20:30:00-05:00,True,4967,3908.894397777778,4967.0
2013-10-24 21:00:00-05:00,True,4967,3955.7337684259264,4967.0
2013-10-24 21:30:00-05:00,True,4967,4149.047866111111,4967.0
2013-10-24 22:00:00-05:00,True,4967,4207.202948657408,4967.0
2013-10-24 22:30:00-05:00,True,4967,4410.064059768518,4967.0
2013-10-24 23:00:00-05:00,True,4967,3959.133987592593,4967.0
2013-10-24 23:30:00-05:00,True,4967,4071.337459814815,4967.0
2013-10-25 00:00:00-05:00,False,4967,3734.2180195833334,4967.0
2013-10-25 00:30:00-05:00,False,4967,3734.1110722222224,4967.0
2013-10-25 01:00:00-05:00,False,4967,3733.8874591666668,4967.0
2013-10-25 01:30:00-05:00,False,4967,3733.8874591666668,4967.0
2013-10-25 02:00:00-05:00,False,4967,3733.8874591666668,4967.0
2013-10-25 02:30:00-05:00,False,4967,3733.8874591666668,4967.0
2013-10-25 03:00:00-05:00,False,4967,3733.8874591666668,4967.0
2013-10-25 03:30:00-05:00,False,4967,3733.83399375,4967.0
2013-10-25 04:00:00-05:00,False,4967,3733.8874591666668,4967.0
2013-10-25 04:30:00-05:00,False,4967,3733.8874591666668,4967.0
2013-10-25 05:00:00-05:00,False,4967,3733.216643333333,4967.0
2013-10-25 05:30:00-05:00,False,4967,3733.2944172222224,4967.0
2013-10-25 06:00:00-05:00,False,4967,3733.663853888889,4967.0
2013-10-25 06:30:00-05:00,False,4967,3733.8874591666668,4967.0
2013-10-25 07:00:00-05:00,False,4967,3733.8874591666668,4967.0
2013-10-25 07:30:00-05:00,False,4967,3733.8874591666668,4967.0
2013-10-25 08:00:00-05:00,True,4967,4089.0860430555554,4967.0
2013-10-25 08:30:00-05:00,True,4967,3931.6388305555556,4967.0
2013-10-25 09:00:00-05:00,True,4967,3966.284661944444,4967.0
2013-10-25 09:30:00-05:00,True,4967,3970.5916148148144,4967.0
2013-10-25 10:00:00-05:00,True,4967,4438.809669722222,4967.0
2013-10-25 10:30:00-05:00,True,4967,4538.30363824074,4967.0
2013-10-25 11:00:00-05:00,True,4967,4833.456154722222,4967.0
2013-10-25 11:30:00-05:00,True,4967,4247.227735,4967.0
2013-10-25 12:00:00-05:00,True,4967,4483.052723333332,4967.0
2013-10-25 12:30:00-05:00,True,4967,4315.426330555555,4967.0
2013-10-25 13:00:00-05:00,True,4967,4496.190231111111,4967.0
2013-10-25 13:30:00-05:00,True,4967,4521.3964681481475,4967.0
2013-10-25 14:00:00-05:00,True,4967,4165.593905648148,4967.0
2013-10-25 14:30:00-05:00,True,4967,4054.1957652777783,4967.0
2013-10-25 15:00:00-05:00,True,4967,4678.5804777777785,4967.0
2013-10-25 15:30:00-05:00,True,4967,4325.3251595370375,4967.0
2013-10-25 16:00:00-05:00,True,4967,4735.696897407407,4967.0
2013-10-25 16:30:00-05:00,True,4967,4480.240205833334,4967.0
2013-10-25 17:00:00-05:00,True,4967,4124.879104444444,4967.0
