,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,1671.0,1671,1671.0,1671.0,1671.0,1671.0,1671.0,1671.0,1671.0,1671.0,1671.0,1671.0,1671.0,1671.0
mean,1.0,0.79652902453620589,599.0608258527905,175.0,0.0,599.0608258527905,264.67612154754266,1201.4879103690107,662.4259685711862,733.0820159582905,599.0608258527905,1201.4879103690107,0.0,602.4270845162529
std,0.0,0.40270036731261932,51.416782898504756,0.0,0.0,51.416782898504756,58.5757635426544,1.789255489273011,41.56131791635414,29.21453715869508,51.416782898504756,1.789255489273011,0.0,51.49719803197114
min,1.0,False,497.36,175.0,0.0,497.36,175.0,1197.1671999999999,559.069109953433,686.6133199999999,497.36,1197.1671999999999,0.0,572.1271999999999
25%,1.0,1.0,625.04,175.0,0.0,625.04,221.5059,1199.2860799999999,643.435837443862,712.2734937777777,625.04,1199.2860799999999,0.0,575.3055199999999
50%,1.0,1.0,625.04,175.0,0.0,625.04,262.7636666666667,1201.4049599999998,664.3987990234314,732.2278060533332,625.04,1201.4049599999998,0.0,576.3649599999999
75%,1.0,1.0,625.04,175.0,0.0,625.04,291.4204095541667,1203.5238399999998,692.8013559113338,746.3023338866667,625.04,1203.5238399999998,0.0,578.4838399999999
max,1.0,True,625.04,175.0,0.0,625.04,410.7618423999999,1205.6427199999998,727.7756066815344,806.0834011999999,625.04,1205.6427199999998,0.0,708.2827199999998
