,bac,avg_percent_open,level,correlation,usage
74,139014,34.95983598,1,0.762830692,high
75,139015,21.91308431,1,0.638384287,high
76,139016,39.23676388,1,0.647658025,high
77,139017,30.64017131,1,0.6557648079999999,high
78,139018,37.46986978,1,0.696804505,high
80,139020,29.27733958,1,0.7843255459999999,high
82,139027,30.35972514,1,0.686439488,high
83,139028,40.22863097,1,0.528848512,high
84,139029,24.94506906,1,0.56298582,high
85,139030,26.01211147,1,0.41060943200000005,high
86,139031,39.00288534,1,0.7874069929999999,high
87,139032,25.45601895,1,0.482671869,high
88,139033,31.75268298,1,0.538994355,high
101,139062,20.0008315,1,0.735515749,high
113,139232,23.28457309,1,0.697838297,high
115,139237,30.76526319,1,0.67226946,high
116,139238,29.28227506,1,0.728164377,high
