,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,214.0,214.0,334,214.0,214.0,214.0
mean,23.416349889213397,242.24884954309474,0.3413173652694611,252.5827778230772,12.293627188743791,247.4158136830856
std,11.248364230720552,91.21435880014185,0.47486309188425901,100.87698517778367,30.861015297252283,93.39600105773648
min,16.975,205.53135999999998,False,210.0,0.16325681359845842,207.76567999999997
25%,17.09,207.65024,0.0,210.0,0.163256813643026,208.82512000000003
50%,17.34166675,209.76912,0.0,210.0,1.6615312301542378,209.88456
75%,23.67777772222222,209.76912000000002,1.0,210.0,3.1598056466815234,209.88456000000002
max,58.36999899999999,629.30736,True,643.6126666666665,165.26313494534398,633.2816933333332
