,description,base lab cfm,hood inc cfm,sash driven cfm,lab total cfm,savings cad
0,current operation,2065.795409181633,189.43912175648734,386.36246953668876,2641.59700047481,0.0
1,reduced overall ach,1389.7994011976068,334.73952095808386,662.2172854921521,2386.7562076478393,1337.9141623415965
2,current operation sash reduced .2,2044.493013972053,198.291417165669,150.5326796541134,2393.3171107918333,1303.4694208356282
3,reduced overall ach sash reduced .2,1364.2365269461097,360.3023952095808,386.436420196679,2110.975342352368,2785.763705142821
