,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,4796.0,4796,4796.0,4796.0,4796.0,4796.0,1686.0,1694.0,1686.0,1694.0,4796.0,4796.0,4796.0,4796.0
mean,0.35154295246038364,0.54378648874061719,495.96521267725774,175.0,0.0,495.96521267725774,231.56444532258337,230.3183454670069,20.156073727176278,230.8836765628647,495.96521267725774,496.06424458532933,0.0,0.09903190807154076
std,0.47750188096999563,0.49813098799631367,52.310436098121194,0.0,0.0,52.310436098121194,40.5807249637042,61.950055313158835,23.0499608834686,47.68070319918187,52.310436098121194,52.4311866637156,0.0,1.8950663969200585
min,0.0,False,436.12,175.0,0.0,436.12,175.0,199.17471999999998,0.0015839172456653568,190.26567999999997,436.12,436.12,0.0,0.0
25%,0.0,0.0,436.12,175.0,0.0,436.12,204.95150575199997,207.65024,6.250012079624527,205.90930283999998,436.12,436.12,0.0,0.0
50%,0.0,1.0,541.6800000000001,175.0,0.0,541.6800000000001,223.18686476799996,207.65024,17.0735979362852,216.1640803502222,541.6800000000001,541.6800000000001,0.0,0.0
75%,1.0,1.0,541.6800000000001,175.0,0.0,541.6800000000001,253.94803869866664,220.36352,24.045930376740934,237.010849076,541.6800000000001,541.6800000000001,0.0,0.0
max,1.0,True,541.6800000000001,175.0,0.0,541.6800000000001,414.97940556800006,608.11856,159.63055403493263,511.54898278400003,541.6800000000001,608.11856,0.0,66.43855999999994
