,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,1860.0,1860,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0
mean,1.0,0.68010752688172038,541.6800000000214,175.0,0.0,541.6800000000214,315.0612257343973,387.2954272078846,51.092313420518316,351.1783264711404,541.6800000000214,546.4620079785151,0.0,4.782007978494604
std,0.0,0.46656008199381127,0.0001323112213860192,0.0,0.0,0.0001323112213860192,35.633258289435176,70.55301552659,68.20901420720202,28.226336037630325,0.0001323112213860192,15.19586692711433,0.0,15.195866927666057
min,1.0,False,541.6800000000001,175.0,0.0,541.6800000000001,175.0,320.6571733333333,7.386768286823527,296.5730266666667,541.6800000000001,541.6800000000001,0.0,0.0
25%,1.0,0.0,541.6800000000001,175.0,0.0,541.6800000000001,316.71731116666666,359.94473999999997,16.52429688256367,340.55599328,541.6800000000001,541.6800000000001,0.0,0.0
50%,1.0,1.0,541.6800000000001,175.0,0.0,541.6800000000001,326.71891046666667,360.20959999999997,24.300543266134305,346.19062844999996,541.6800000000001,541.6800000000001,0.0,0.0
75%,1.0,1.0,541.6800000000001,175.0,0.0,541.6800000000001,337.6160525266667,362.32847999999996,33.68889294206287,351.52254279,541.6800000000001,541.6800000000001,0.0,0.0
max,1.0,True,541.6800000000001,175.0,0.0,541.6800000000001,348.61494304,599.6430399999999,300.2679731676703,468.06094278999996,541.6800000000001,599.6430399999999,0.0,57.963039999999864
