,hood,flow,open
count,822.0,822.0,817.0
mean,139223.0,99.16058394160584,2.881988990208082
std,0.0,10.788341415576147,4.739333663567209
min,139223.0,93.0,0.085
25%,139223.0,98.0,2.21
50%,139223.0,98.0,2.21
75%,139223.0,99.0,2.28
max,139223.0,295.0,57.695
