,hood,flow,open
count,796.0,796.0,794.0
mean,139093.0,143.92587939698493,23.01477275944586
std,0.0,79.00351577945753,9.692089948623481
min,139093.0,97.0,16.584999
25%,139093.0,99.0,17.934998999999998
50%,139093.0,99.0,20.48
75%,139093.0,161.25,22.289998999999998
max,139093.0,299.0,105.25999499999999
