,hood,flow,open
count,898.0,898.0,895.0
mean,22363.0,282.8218262806236,14.876318147486021
std,0.0,0.3828721547071796,15.958170466768838
min,22363.0,282.0,0.735
25%,22363.0,283.0,1.065
50%,22363.0,283.0,1.8
75%,22363.0,283.0,24.674999
max,22363.0,283.0,63.864998
