,hood,flow,open
count,965.0,965.0,960.0
mean,139279.0,124.46632124352331,26.13013470416655
std,0.0,52.1651756963984,19.191133968981692
min,139279.0,97.0,0.05
25%,139279.0,97.0,13.63
50%,139279.0,99.0,17.809998999999998
75%,139279.0,138.0,48.535
max,139279.0,297.0,91.695
