,hood,flow,open
count,699.0,699.0,695.0
mean,139062.0,119.05150214592274,23.052035316546654
std,0.0,55.216507253191565,12.166793292235836
min,139062.0,97.0,16.82
25%,139062.0,97.0,16.934998999999998
50%,139062.0,98.0,17.355
75%,139062.0,99.0,18.09
max,139062.0,297.0,58.799999
