,hood,flow,open
count,586.0,586.0,585.0
mean,22361.0,282.47610921501706,6.899486810256438
std,0.0,0.5032637564624377,5.944043044024465
min,22361.0,282.0,0.0
25%,22361.0,282.0,0.0
50%,22361.0,282.0,9.925
75%,22361.0,283.0,12.924999
max,22361.0,284.0,13.0
