,hood,flow,open
count,975.0,975.0,969.0
mean,139443.0,102.00307692307692,43.2889105283792
std,0.0,25.602653841870467,6.7800867701215015
min,139443.0,83.0,29.504998999999998
25%,139443.0,85.0,39.904999
50%,139443.0,88.0,42.68
75%,139443.0,113.0,49.889998999999996
max,139443.0,212.0,53.399998
