,hood,flow,open
count,973.0,973.0,969.0
mean,139435.0,136.18705035971223,44.14919323735838
std,0.0,44.92258953178555,8.413241382430803
min,139435.0,92.0,33.009997999999996
25%,139435.0,98.0,37.049999
50%,139435.0,99.0,37.049999
75%,139435.0,163.0,51.469997
max,139435.0,297.0,56.639998999999996
