,hood,flow,open
count,190.0,190.0,189.0
mean,139028.0,113.91578947368421,33.3769038201059
std,0.0,43.824243286541574,11.445653878373557
min,139028.0,98.0,23.754998999999998
25%,139028.0,98.0,24.68
50%,139028.0,98.0,29.07
75%,139028.0,109.0,38.599998
max,139028.0,296.0,73.599998
