,hood,flow,open
count,1449.0,843.0,857.0
mean,139224.0,65535.0,3.8749766627771725
std,0.0,0.0,2.245702190606199
min,139224.0,65535.0,2.59
25%,139224.0,65535.0,2.71
50%,139224.0,65535.0,2.9
75%,139224.0,65535.0,2.9
max,139224.0,65535.0,10.9
