,hood,flow,open
count,197.0,197.0,197.0
mean,139020.0,85.87817258883248,26.564136152284274
std,0.0,10.449850145916079,6.508032895666795
min,139020.0,83.0,20.164998999999998
25%,139020.0,84.0,20.209999
50%,139020.0,84.0,23.41
75%,139020.0,84.0,33.314999
max,139020.0,165.0,40.25
