,hood,flow,open
count,922.0,922.0,917.0
mean,22365.0,282.1930585683297,2.0183532911668527
std,0.0,0.40037384109149393,8.488337731571061
min,22365.0,281.0,0.405
25%,22365.0,282.0,0.865
50%,22365.0,282.0,1.01
75%,22365.0,282.0,1.01
max,22365.0,283.0,65.66999799999999
