,hood,flow,open
count,1037.0,1037.0,1033.0
mean,22295.0,221.91803278688525,69.51287806582792
std,0.0,24.212540880598944,8.561201784485261
min,22295.0,202.0,60.334998999999996
25%,22295.0,211.0,61.724998
50%,22295.0,212.0,68.354996
75%,22295.0,212.0,80.504997
max,22295.0,287.0,80.809998
