,hood,flow,open
count,989.0,989.0,984.0
mean,139451.0,94.3670374115268,35.89207774085375
std,0.0,24.62117364627971,6.378225474443637
min,139451.0,78.0,25.305
25%,139451.0,84.0,29.574999
50%,139451.0,84.0,36.1674995
75%,139451.0,86.0,39.290001000000004
max,139451.0,230.0,53.48
