,hood,flow,open
count,1087.0,1087.0,1079.0
mean,22381.0,142.0,0.0
std,0.0,0.0,0.0
min,22381.0,142.0,0.0
25%,22381.0,142.0,0.0
50%,22381.0,142.0,0.0
75%,22381.0,142.0,0.0
max,22381.0,142.0,0.0
