,hood,flow,open
count,1100.0,1100.0,1096.0
mean,22380.0,282.9981818181818,106.67763489051009
std,0.0,0.04262073937390662,0.16311275742069928
min,22380.0,282.0,106.345001
25%,22380.0,283.0,106.599998
50%,22380.0,283.0,106.66999799999999
75%,22380.0,283.0,106.74499499999999
max,22380.0,283.0,107.269997
