,hood,flow,open
count,818.0,818.0,817.0
mean,139095.0,104.38264058679707,21.113041298653577
std,0.0,30.561958928263135,5.997566956563513
min,139095.0,97.0,17.09
25%,139095.0,98.0,17.355
50%,139095.0,98.0,18.279999
75%,139095.0,99.0,22.48
max,139095.0,296.0,56.134997999999996
