,hood,flow,open
count,255605.0,151881.0,156026.0
mean,89561.30094872949,1070.1969173234309,33.14311101218914
std,57766.81615555521,7581.931631725718,26.214203169809576
min,22243.0,0.0,0.0
25%,22365.0,98.0,15.66
50%,139049.0,143.0,28.724998
75%,139246.0,282.0,51.514998999999996
max,139457.0,65535.0,114.07
