,hood,flow,open
count,1079.0,1079.0,1077.0
mean,22394.0,19.0,0.0
std,0.0,0.0,0.0
min,22394.0,19.0,0.0
25%,22394.0,19.0,0.0
50%,22394.0,19.0,0.0
75%,22394.0,19.0,0.0
max,22394.0,19.0,0.0
