,hood,flow,open
count,957.0,957.0,952.0
mean,139268.0,141.0616509926855,14.40192187289912
std,0.0,65.21896946139289,7.548667141502875
min,139268.0,92.0,6.715
25%,139268.0,98.0,8.184999000000001
50%,139268.0,99.0,9.8
75%,139268.0,165.0,23.135
max,139268.0,304.0,34.934998
