,hood,flow,open
count,700.0,700.0,699.0
mean,22372.0,318.99285714285713,36.68997789270386
std,0.0,0.08427326045025338,30.535940529972912
min,22372.0,318.0,0.0
25%,22372.0,319.0,0.0
50%,22372.0,319.0,48.215
75%,22372.0,319.0,65.125
max,22372.0,319.0,73.58000200000001
