,hood,flow,open
count,892.0,892.0,885.0
mean,139238.0,128.63452914798205,29.439513656497105
std,0.0,64.04197606769887,15.195729440385712
min,139238.0,97.0,18.785
25%,139238.0,98.0,20.785
50%,139238.0,98.0,23.105
75%,139238.0,123.0,29.459999
max,139238.0,296.0,74.564995
