,hood,flow,open
count,191.0,191.0,191.0
mean,139205.0,106.6544502617801,27.534684706806257
std,0.0,11.56883147383011,11.006858812941033
min,139205.0,98.0,17.859999
25%,139205.0,98.0,17.889999
50%,139205.0,99.0,18.125
75%,139205.0,116.0,40.174999
max,139205.0,195.0,40.219997
