,hood,flow,open
count,771.0,771.0,769.0
mean,22362.0,283.0,42.22826889466839
std,0.0,0.0,3.609841284585407
min,22362.0,283.0,32.360001000000004
25%,22362.0,283.0,40.759997999999996
50%,22362.0,283.0,40.889998999999996
75%,22362.0,283.0,41.759997999999996
max,22362.0,283.0,53.945
