,hood,flow,open
count,865.0,865.0,860.0
mean,139231.0,110.89132947976879,18.651290094186077
std,0.0015035163260146505,28.26003150659222,14.481153270516284
min,139231.0,91.0,2.965
25%,139231.0,98.0,7.555
50%,139231.0,98.0,12.759999
75%,139231.0,130.0,40.079997999999996
max,139231.0,297.0,85.689995
