,hood,flow,open
count,972.0,972.0,966.0
mean,139291.0,102.44135802469135,13.051883598343728
std,0.0,19.284782595623422,16.30360111881657
min,139291.0,93.0,0.0
25%,139291.0,98.0,1.315
50%,139291.0,99.0,1.975
75%,139291.0,99.0,25.344998999999998
max,139291.0,294.0,71.814995
