,hood,flow,open
count,196.0,196.0,195.0
mean,139215.0,98.81632653061224,18.30564059999999
std,0.0,0.3882092688493874,0.3718413577743538
min,139215.0,98.0,17.934998999999998
25%,139215.0,99.0,17.975
50%,139215.0,99.0,18.09
75%,139215.0,99.0,18.514999
max,139215.0,99.0,19.25
