,hood,flow,open
count,1088.0,1088.0,1085.0
mean,22386.0,142.00183823529412,39.17438676958501
std,0.0,0.07427245109312586,0.2076597622524156
min,22386.0,141.0,38.814999
25%,22386.0,142.0,39.09
50%,22386.0,142.0,39.09
75%,22386.0,142.0,39.290001000000004
max,22386.0,143.0,39.814999
