,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,1759.0,1765.0,4795,1759.0,1759.0,1765.0
mean,19.735723270718704,234.19989977211645,0.44608967674661104,364.8031470025342,92.37388712452267,299.2524154434061
std,16.538040221571816,78.35894190477737,0.49713702268483922,154.4408625906158,73.57360383213863,110.79331508451094
min,0.0,205.53135999999998,False,263.0,0.9321930117760424,205.53135999999998
25%,3.76,207.65024000000003,0.0,263.0,37.63991621652742,235.67826666666667
50%,17.609999,209.76912,0.0,263.0,39.88732784130832,236.38456000000002
75%,31.644999,209.76912000000002,1.0,438.59968614,158.6749499866551,326.39955299999997
max,90.25,637.78288,True,1155.0,380.7104770629821,891.0942399999999
