,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
2013-11-05 21:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1159.9125,832.7198400000001,231.3601486404637,996.31617,1159.9125,1022.0,137.9124999999999,0.0
2013-11-05 22:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,1160.175,832.7198400000001,231.54576417052522,996.44742,1160.175,1022.0,138.17499999999995,0.0
2013-11-05 23:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1156.3852875,832.71984,228.86603276302858,994.5525637499999,1156.3852875,1022.0,134.3852875,0.0
2013-11-06 00:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,1141.666125,832.7198400000001,218.4580131458912,987.1929825,1141.666125,1022.0,119.66612499999997,0.0
2013-11-06 01:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,1141.7409375,832.71984,218.51091357195907,987.23038875,1141.7409375,1022.0,119.74093749999997,0.0
2013-11-06 03:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1145.2776,832.7198400000001,221.01171160847701,988.99872,1145.2776,1022.0,123.2775999999999,0.0
2013-11-06 04:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,1174.9674,832.71984,242.00557052054987,1003.8436199999999,1174.9674,1022.0,152.9674,0.0
2013-11-06 05:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1159.86,832.71984,231.32302553445203,996.2899199999999,1159.86,1022.0,137.8599999999999,0.0
2013-11-06 06:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,1148.7341999999999,832.7198400000001,223.45589690832622,990.72702,1148.7341999999999,1022.0,126.73419999999987,0.0
2013-11-06 07:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,1159.9125,832.7198400000001,231.3601486404637,996.31617,1159.9125,1022.0,137.9124999999999,0.0
2013-11-06 08:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1171.13,831.8369733333333,239.9163999653079,1001.4834866666665,1171.13,1022.0,149.1300000000001,0.0
2013-11-06 10:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1665.9751952399997,1287.5727466666665,267.57093740379895,1476.7739709533332,1665.9751952399997,1287.5727466666665,643.9751952399997,265.5727466666665
2013-11-06 11:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1137.7556818933333,834.1324266666666,214.69406269671023,985.9440542799999,1137.7556818933333,1022.0,115.7556818933333,0.0
2013-11-06 13:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1920.4105501466663,1303.2289155555554,436.4133190431721,1611.819732851111,1920.4105501466663,1303.2289155555554,898.4105501466663,281.22891555555543
2013-11-06 14:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,2676.677300772222,1617.1174444444441,749.2219594824146,2146.897372608333,2676.677300772222,1617.1174444444441,1654.6773007722222,595.1174444444441
2013-11-06 15:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1921.6426081399995,1316.8839199999998,427.6289693652738,1619.2632640699999,1921.6426081399995,1316.8839199999998,899.6426081399995,294.88391999999976
2013-11-06 16:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,2062.4500161399997,1545.4875288888886,365.5476803543248,1803.968772514444,2062.4500161399997,1545.4875288888886,1040.4500161399997,523.4875288888886
2013-11-06 17:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1230.4738128533334,940.253,205.21710481006374,1085.3634064266666,1230.4738128533334,1022.0,208.47381285333336,0.0
2013-11-06 19:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1088.7784909466666,831.3072533333333,182.05965807688068,960.04287214,1088.7784909466666,1022.0,66.77849094666658,0.0
2013-11-06 20:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,1082.69724335,831.13068,177.88442286458013,956.913961675,1082.69724335,1022.0,60.69724335000001,0.0
2013-11-06 21:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,1086.1029807275002,831.39554,180.10535855708554,958.74926036375,1086.1029807275002,1022.0,64.10298072750015,0.0
2013-11-06 22:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1082.7428817066666,831.3072533333332,177.7918378546849,957.0250675199999,1082.7428817066666,1022.0,60.742881706666594,0.0
2013-11-06 23:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1104.44519524,830.7775333333333,193.5122595256715,967.6113642866667,1104.44519524,1022.0,82.44519523999998,0.0
2013-11-07 00:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,1091.66318628,832.0135466666666,183.60002090323133,961.8383664733333,1091.66318628,1022.0,69.66318627999999,0.0
2013-11-07 01:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,1104.150663695,831.13068,193.05428187017526,967.6406718474999,1104.150663695,1022.0,82.15066369500005,0.0
2013-11-07 02:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1100.92838586,830.9541066666666,190.90064356355634,965.9412462633333,1100.92838586,1022.0,78.92838585999993,0.0
2013-11-07 05:00:00-05:00,4,False,767.04,1052.0,284.96000000000004,1022.0,1082.7471194583334,831.5721133333333,177.60755009556044,957.1596163958334,1082.7471194583334,1022.0,60.74711945833337,0.0
2013-11-07 06:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1100.2332097366666,832.19012,189.5350864029912,966.2116648683334,1100.2332097366666,1022.0,78.2332097366666,0.0
2013-11-07 07:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1865.429660685,1046.5501466666665,579.0352573371082,1455.9899036758334,1865.429660685,1046.5501466666665,843.429660685,24.55014666666648
2013-11-07 08:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1340.92528642,976.0973866666666,257.97228188162813,1158.5113365433333,1340.92528642,1022.0,318.92528642,0.0
2013-11-07 10:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,2048.7386087,1258.61472,558.7019596772552,1653.67666435,2048.7386087,1258.61472,1026.7386087,236.61472000000003
2013-11-07 11:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1705.3933342425,1097.4032666666667,429.91389967693937,1401.3983004545833,1705.3933342425,1097.4032666666667,683.3933342425,75.4032666666667
2013-11-07 12:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,2144.8500548766665,1346.9013866666664,564.2349143300656,1745.8757207716667,2144.8500548766665,1346.9013866666664,1122.8500548766665,324.90138666666644
2013-11-07 13:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,1899.9397841025002,1309.2912666666666,417.65157197665815,1604.6155253845832,1899.9397841025002,1309.2912666666666,877.9397841025002,287.2912666666666
2013-11-07 14:00:00-05:00,4,True,1000.5600000000001,1052.0,51.43999999999994,1022.0,2422.9804974433328,1728.4469311111109,491.10939451519187,2075.7137142772217,2422.9804974433328,1728.4469311111109,1400.9804974433328,706.4469311111109
