,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm,description
0,8.0,0.6149532710280374,2313.0,2540.0,227.0,1940.0,3780.3998513095084,2044.3985626292824,1464.3611656521598,2912.3992069693936,3780.3998513095084,2121.25859155971,1840.3998513095025,181.25859155970917,current operation
1,8.0,0.6056074766355141,2192.97320872274,2540.0,347.0267912772592,1940.0,3783.711786638244,2044.3985626292824,1466.6170926259342,2914.055174633759,3783.711786638244,2121.25859155971,1843.7117866382437,181.25859155970917,reduced unoccupied ach
2,8.0,0.6093457943925233,2313.0,2540.0,227.0,1940.0,3083.679394275315,2044.3985626292824,1048.9616960993646,2564.038978452296,3083.679394275315,2121.25859155971,1143.6793942753152,181.25859155970917,reduced unoccupied face velocity
3,8.0,0.5925233644859813,2313.0,2540.0,227.0,1940.0,3285.577775572343,2044.3985626292824,1161.9873112770927,2664.9881691008095,3285.577775572343,2121.25859155971,1345.5777755723414,181.25859155970917,sash reduced 20%
4,8.0,0.6261682242990654,2313.0,2540.0,227.0,1940.0,2680.4440463314863,2044.3985626292824,827.741784934186,2362.4213044803814,2680.4440463314863,2121.25859155971,740.4440463314829,181.25859155970917,sash reduced 50%
5,8.0,0.6037383177570094,2192.4043613707154,2540.0,347.5956386292841,1940.0,3287.529608289642,2044.3985626292824,1163.8820282231447,2665.9640854594595,3287.529608289642,2121.25859155971,1347.5296082896427,181.25859155970917,"reduced ach, sash reduced 20%"
6,8.0,0.6130841121495327,2195.24859813084,2540.0,344.7514018691595,1940.0,2679.78517362427,2044.3985626292824,827.2576274269194,2362.0918681267735,2679.78517362427,2121.25859155971,739.7851736242693,181.25859155970917,"reduced ach, sash reduced 50%"
7,8.0,0.5962616822429907,2190.128971962616,2540.0,349.8710280373839,1940.0,2681.2458357209453,2044.3985626292824,828.1761557618612,2362.822199175112,2681.2458357209453,2121.25859155971,741.2458357209454,181.25859155970917,"all reduced (ach, face vel, sash 50%)"
