,description,base lab cfm,hood inc cfm,sash driven cfm,lab total cfm,savings cad
0,current operation,2313.0,227.0,1840.3998513095025,3780.3998513095084,0.0
1,reduced unoccupied ach,2192.97320872274,347.0267912772592,1843.7117866382437,3783.711786638244,0.0
2,reduced unoccupied face velocity,2313.0,227.0,1143.6793942753152,3083.679394275315,3483.6022851709663
3,sash reduced 20%,2313.0,227.0,1345.5777755723414,3285.577775572343,2474.1103786858275
4,sash reduced 50%,2313.0,227.0,740.4440463314829,2680.4440463314863,5499.779024890111
5,"reduced ach, sash reduced 20%",2192.4043613707154,347.5956386292841,1347.5296082896427,3287.529608289642,2464.351215099332
6,"reduced ach, sash reduced 50%",2195.24859813084,344.7514018691595,739.7851736242693,2679.78517362427,5503.073388426192
7,"all reduced (ach, face vel, sash 50%)",2190.128971962616,349.8710280373839,741.2458357209454,2681.2458357209453,5495.770077942816
