,description,base lab cfm,hood inc cfm,sash driven cfm,lab total cfm,savings cad
0,current operation,451.599999999985,0.0,0.06908318915712797,451.66908318914216,
1,reduced unoccupied ach,413.460561914667,0.0,0.13821065922996878,413.598772573897,00:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:00
2,reduced unoccupied face velocity,451.599999999985,0.0,0.07689804120245107,451.6768980411875,
3,sash reduced 20%,451.599999999985,0.0,0.0,451.599999999985,
4,sash reduced 50%,451.599999999985,0.0,0.0,451.599999999985,
5,"reduced ach, sash reduced 20%",413.46056191466676,0.0,0.0,413.46056191466676,00:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:00
6,"reduced ach, sash reduced 50%",412.75546305930806,0.0,0.0,412.75546305930806,00:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:00
7,"all reduced (ach, face vel, sash 50%)",412.5631633714825,0.0,0.0,412.5631633714825,00:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:0000:00
