,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,1779.0,1784.0,4794,1779.0,1779.0,1784.0
mean,38.13600547094186,291.3353270789699,0.21506049228201918,729.6991756690098,311.6126508261954,509.86822660987895
std,13.12426627747556,119.09890628075536,0.4109071634140361,215.86910637162055,114.42815731622633,153.12080245222216
min,17.194999,194.23066666666665,False,460.0,17.46150591185316,199.17471999999998
25%,26.589999,201.2936,0.0,493.77684839777777,184.43132419288,349.1001263333334
50%,38.985001000000004,226.72016,0.0,712.3479807733333,332.47460612031335,471.88719097111107
75%,54.37083199999999,379.27952,0.0,979.0573156,424.1069464738788,690.1985328400001
max,71.78499599999999,628.6010666666667,True,1313.18686016,525.0280909346714,941.9359367466666
