,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,1752.0,1756.0,4794,1752.0,1752.0,1756.0
mean,20.845586538162987,297.86790935523277,0.23007926574885273,219.32767062773294,69.43466780967515,258.8360767903109
std,17.580241162659323,155.67275936563198,0.42092725721764579,86.40279945606221,99.61307040964948,100.50808267895093
min,0.05,205.53135999999998,False,175.0,0.1998774202684411,190.26567999999997
25%,10.264999000000001,205.53135999999998,0.0,175.0,21.58893169484791,190.26567999999997
50%,15.245,208.70968,0.0,175.0,23.08720611136823,192.38456
75%,26.724687312500002,301.46953777777776,0.0,207.01158189133338,41.999142135457745,309.1418
max,92.754997,628.2479199999999,True,685.6449378240001,318.2472661659168,654.297828912
