,bac,avg_percent_open,level,correlation,usage
0,22243,78.58806440000001,2,0.9114048920000001,low
1,22245,75.24312929999999,2,0.910351998,low
2,22247,71.93159622,2,0.855401216,low
3,22250,77.24375227,2,0.961902923,low
4,22256,78.11561163,2,0.991646274,low
5,22261,76.40833961,2,0.987755287,low
6,22262,76.33359042,2,0.9536265559999999,low
7,22266,79.51150619,2,0.990806318,low
9,22276,75.72725488,2,0.949748678,low
11,22286,72.46424665,2,0.851012378,low
12,22291,67.77892132,2,0.846617374,low
13,22295,77.13205614,2,0.853909635,low
14,22296,77.01118968,2,0.8316564479999999,low
15,22315,78.13263412,2,0.933982977,low
16,22328,75.94996505,2,0.9910961709999999,low
17,22331,74.95616409,2,0.976344386,low
19,22341,98.22692322,2,0.910158295,low
30,22356,53.98831728,2,0.988392569,low
32,22358,113.137084,2,0.8666729759999999,low
34,22360,56.02537191,2,0.968378558,low
41,22367,73.86798691,2,0.9707021,low
53,22380,105.7598903,2,0.997151789,low
60,22387,58.51751428,2,0.966316058,low
61,22388,79.50367809,2,0.9872675870000001,low
