,bac,avg_percent_open,level,correlation,usage
10,22281,1.918829537,0,0.994737378,low
20,22346,6.4975927989999995,0,0.947291428,low
21,22347,1.420469699,0,0.87145447,low
22,22348,4.71218161,0,0.99715818,low
23,22349,5.014205263,0,0.979341768,low
24,22350,9.732131777000001,0,0.948208495,low
25,22351,14.3203544,0,0.8564271929999999,low
27,22353,2.4080295769999998,0,0.801561918,low
28,22354,17.10165541,0,0.975287644,low
29,22355,15.8518566,0,0.955520912,low
33,22359,3.6423411339999996,0,0.819905695,low
37,22363,7.897870735,0,0.84096976,low
38,22364,6.177637912000001,0,0.949710913,low
40,22366,0.958788812,0,0.803301305,low
42,22369,4.633252108,0,0.975376641,low
43,22370,8.250686961,0,0.917403752,low
44,22371,6.9542240689999995,0,0.93572841,low
45,22372,8.238398757,0,0.962312521,low
46,22373,1.610024537,0,0.999951755,low
47,22374,13.61834169,0,0.971580005,low
48,22375,2.098915624,0,0.99999531,low
49,22376,0.0,0,,low
50,22377,8.182130257,0,0.9927922240000001,low
54,22381,0.0,0,,low
55,22382,7.225024156,0,0.992623703,low
56,22383,0.7997214779999999,0,0.999568514,low
65,22392,0.0,0,,low
66,22394,0.0,0,,low
91,139048,19.94583481,0,0.8259985040000001,low
99,139060,19.89354265,0,0.807347512,low
104,139222,14.36751786,0,0.9623182490000001,low
105,139223,8.231709322999999,0,0.819602616,low
107,139226,7.288372749,0,0.941714646,low
112,139231,10.63089542,0,0.864496808,low
133,139268,14.34063979,0,0.810484337,low
137,139279,19.73572327,0,0.883394485,low
143,139285,12.485192900000001,0,0.846847006,low
144,139291,9.66331345,0,0.973197799,low
